,,,,,,,,,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C
Paper,Beverage,Composite,Hazardous,Recycled,,,,,AT6,BE22,BG6,HR5,CY7,CZ105,,EE9,,,DE6,GR10,HU2,,,LV3,LT10,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL20,ES12,SE1,,MK6,RS1
Paper,Beverage,Biodegradable,Hazardous,Recycled,,,,,AT6,BE22,BG2,HR4,CY7,CZ105,,EE9,,,DE6,GR1,HU6,,,LV3,LT2,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL20,ES11,SE1,,MK1,RS1
Paper,Composite,Biodegradable,Hazardous,Recycled,,,,,AT11,BE22,BG6,HR6,CY2,CZ112,,EE3,,,DE7,GR10,HU3,,,LV7,LT10,LU3,MT2,NL2,PL1,PT3,RO8,SK7,SL20,ES14,SE1,,MK6,RS1
Paper,Beverage,Composite,Biodegradable,Hazardous,Recycled,,,,AT6,BE22,BG6,HR5,CY7,CZ105,,EE9,,,DE6,GR10,HU2,,,LV3,LT10,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL20,ES12,SE1,,MK6,RS1
Glass,,,,,,,,,AT2,BE1,BG3,HR11,CY1,CZ106,,EE1,,,DE1,GR8,HU8,,,LV1,LT1,LU2,MT3,NL1,PL2,PT1,RO1,SK1,SL1,ES18,SE7,,MK3,RS2
Glass,Beverage,,,,,,,,AT2,BE1,BG3,HR12,CY1,CZ107,,EE1,,,DE1,GR8,HU8,,,LV1,LT1,LU2,MT3,NL1,PL2,PT1,RO1,SK1,SL1,ES18,SE7,,MK3,RS2
Glass,Composite,,,,,,,,AT7,BE19,BG6,HR11,CY1,CZ108,,EE1,,,DE7,GR12,HU3,,,LV7,LT10,LU2,MT3,NL1,PL2,PT1,RO1,SK2,SL12,ES18,SE7,,MK6,RS2
Glass,Hazardous,,,,,,,,AT2,BE22,BG3,HR11,CY1,CZ106,,EE1,,,DE1,GR8,HU8,,,LV1,LT1,LU2,MT3,NL1,PL2,PT1,RO1,SK1,SL19,ES18,SE7,,MK3,RS2
Glass,Beverage,Composite,,,,,,,AT7,BE19,BG6,HR12,CY1,CZ109,,EE1,,,DE1,GR12,HU3,,,LV1,LT10,LU2,MT3,NL1,PL2,PT1,RO1,SK2,SL12,ES18,SE7,,MK6,RS2
Glass,Beverage,Hazardous,,,,,,,AT2,BE22,BG3,HR12,CY1,CZ107,,EE1,,,DE1,GR8,HU8,,,LV1,LT1,LU2,MT3,NL1,PL2,PT1,RO1,SK1,SL19,ES18,SE7,,MK3,RS2
Glass,Composite,Hazardous,,,,,,,AT7,BE22,BG6,HR11,CY1,CZ108,,EE1,,,DE7,GR12,HU3,,,LV7,LT10,LU2,MT3,NL1,PL2,PT1,RO1,SK2,SL19,ES18,SE7,,MK6,RS2
Glass,Beverage,Composite,Hazardous,,,,,,AT7,BE22,BG6,HR12,CY1,CZ109,,EE1,,,DE1,GR12,HU3,,,LV1,LT10,LU2,MT3,NL1,PL2,PT1,RO1,SK2,SL19,ES18,SE7,,MK6,RS2
Metal,,,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ94,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Metal,Beverage,,,,,,,,AT3,BE3,BG4,HR14,CY3,CZ96,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Metal,Composite,,,,,,,,AT7,BE20,BG6,HR3,CY3,CZ99,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Metal,Hazardous,,,,,,,,AT3,BE22,BG4,HR3,CY3,CZ94,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Metal,Moulded,,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ95,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Metal,Recycled,,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ94,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Metal,Beverage,Composite,,,,,,,AT7,BE20,BG6,HR14,CY3,CZ101,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Metal,Beverage,Hazardous,,,,,,,AT3,BE22,BG4,HR14,CY3,CZ96,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Metal,Beverage,Moulded,,,,,,,AT3,BE3,BG4,HR14,CY3,CZ97,,EE7,,,DE3,GR7,HU4,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES1,SE6,,MK4,RS3
Metal,Beverage,Recycled,,,,,,,AT3,BE3,BG4,HR14,CY3,CZ96,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Metal,Composite,Hazardous,,,,,,,AT7,BE22,BG6,HR3,CY3,CZ99,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Metal,Composite,Moulded,,,,,,,AT7,BE20,BG6,HR3,CY3,CZ100,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Metal,Composite,Recycled,,,,,,,AT7,BE20,BG6,HR3,CY3,CZ94,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Metal,Hazardous,Moulded,,,,,,,AT3,BE22,BG4,HR3,CY3,CZ95,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Metal,Hazardous,Recycled,,,,,,,AT3,BE22,BG4,HR3,CY3,CZ94,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Metal,Moulded,Recycled,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ95,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Metal,Beverage,Composite,Hazardous,,,,,,AT7,BE22,BG6,HR14,CY3,CZ101,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Metal,Beverage,Composite,Moulded,,,,,,AT7,BE20,BG6,HR14,CY3,CZ102,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES1,SE6,,MK6,RS3
Metal,Beverage,Composite,Recycled,,,,,,AT7,BE20,BG6,HR14,CY3,CZ99,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Metal,Beverage,Hazardous,Moulded,,,,,,AT3,BE22,BG4,HR14,CY3,CZ97,,EE7,,,DE3,GR7,HU4,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES1,SE6,,MK4,RS3
Metal,Beverage,Hazardous,Recycled,,,,,,AT3,BE22,BG4,HR14,CY3,CZ96,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Metal,Beverage,Moulded,Recycled,,,,,,AT3,BE3,BG4,HR14,CY3,CZ98,,EE7,,,DE3,GR7,HU4,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES1,SE6,,MK4,RS3
Metal,Composite,Hazardous,Moulded,,,,,,AT7,BE22,BG6,HR3,CY3,CZ100,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Metal,Composite,Hazardous,Recycled,,,,,,AT7,BE22,BG6,HR3,CY3,CZ99,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Metal,Composite,Moulded,Recycled,,,,,,AT7,BE20,BG6,HR3,CY3,CZ100,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Metal,Hazardous,Moulded,Recycled,,,,,,AT3,BE22,BG4,HR3,CY3,CZ95,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Metal,Beverage,Composite,Hazardous,Moulded,,,,,AT7,BE22,BG6,HR14,CY3,CZ102,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES1,SE6,,MK6,RS3
Metal,Beverage,Composite,Hazardous,Recycled,,,,,AT7,BE22,BG6,HR14,CY3,CZ101,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Metal,Beverage,Composite,Moulded,Recycled,,,,,AT7,BE20,BG6,HR14,CY3,CZ103,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES1,SE6,,MK6,RS3
Metal,Beverage,Hazardous,Moulded,Recycled,,,,,AT3,BE22,BG4,HR14,CY3,CZ98,,EE7,,,DE3,GR7,HU4,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES1,SE6,,MK4,RS3
Metal,Composite,Hazardous,Moulded,Recycled,,,,,AT7,BE22,BG6,HR3,CY3,CZ100,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Metal,Beverage,Composite,Hazardous,Moulded,Recycled,,,,AT7,BE22,BG6,HR14,CY3,CZ103,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES1,SE6,,MK6,RS3
Tinplate,,,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ94,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Tinplate,Beverage,,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ96,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Tinplate,Composite,,,,,,,,AT7,BE20,BG6,HR3,CY3,CZ99,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Tinplate,Hazardous,,,,,,,,AT3,BE22,BG4,HR3,CY3,CZ94,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Tinplate,Moulded,,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ95,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Tinplate,Recycled,,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ94,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Tinplate,Beverage,Composite,,,,,,,AT7,BE20,BG6,HR3,CY3,CZ101,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Tinplate,Beverage,Hazardous,,,,,,,AT3,BE22,BG4,HR3,CY3,CZ96,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Tinplate,Beverage,Moulded,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ97,,EE7,,,DE3,GR7,HU4,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES1,SE6,,MK4,RS3
Tinplate,Beverage,Recycled,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ96,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Tinplate,Composite,Hazardous,,,,,,,AT7,BE22,BG6,HR3,CY3,CZ99,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Tinplate,Composite,Moulded,,,,,,,AT7,BE20,BG6,HR3,CY3,CZ100,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Tinplate,Composite,Recycled,,,,,,,AT7,BE20,BG6,HR3,CY3,CZ94,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Tinplate,Hazardous,Moulded,,,,,,,AT3,BE22,BG4,HR3,CY3,CZ95,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Tinplate,Hazardous,Recycled,,,,,,,AT3,BE22,BG4,HR3,CY3,CZ94,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Tinplate,Moulded,Recycled,,,,,,,AT3,BE3,BG4,HR3,CY3,CZ95,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES2,SE6,,MK4,RS3
Tinplate,Beverage,Composite,Hazardous,,,,,,AT7,BE22,BG6,HR3,CY3,CZ101,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Tinplate,Beverage,Composite,Moulded,,,,,,AT7,BE20,BG6,HR3,CY3,CZ102,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES1,SE6,,MK6,RS3
Tinplate,Beverage,Composite,Recycled,,,,,,AT7,BE20,BG6,HR3,CY3,CZ99,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Tinplate,Beverage,Hazardous,Moulded,,,,,,AT3,BE22,BG4,HR3,CY3,CZ97,,EE7,,,DE3,GR7,HU4,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES1,SE6,,MK4,RS3
Tinplate,Beverage,Hazardous,Recycled,,,,,,AT3,BE22,BG4,HR3,CY3,CZ96,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Tinplate,Beverage,Moulded,Recycled,,,,,,AT3,BE3,BG4,HR3,CY3,CZ98,,EE7,,,DE3,GR7,HU4,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL7,ES1,SE6,,MK4,RS3
Tinplate,Composite,Hazardous,Moulded,,,,,,AT7,BE22,BG6,HR3,CY3,CZ100,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Tinplate,Composite,Hazardous,Recycled,,,,,,AT7,BE22,BG6,HR3,CY3,CZ99,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Tinplate,Composite,Moulded,Recycled,,,,,,AT7,BE20,BG6,HR3,CY3,CZ100,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES2,SE6,,MK6,RS3
Tinplate,Hazardous,Moulded,Recycled,,,,,,AT3,BE22,BG4,HR3,CY3,CZ95,,EE7,,,DE3,GR7,HU5,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK4,RS3
Tinplate,Beverage,Composite,Hazardous,Moulded,,,,,AT7,BE22,BG6,HR3,CY3,CZ102,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES1,SE6,,MK6,RS3
Tinplate,Beverage,Composite,Hazardous,Recycled,,,,,AT7,BE22,BG6,HR3,CY3,CZ101,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Tinplate,Beverage,Composite,Moulded,Recycled,,,,,AT7,BE20,BG6,HR3,CY3,CZ103,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL16,ES1,SE6,,MK6,RS3
Tinplate,Beverage,Hazardous,Moulded,Recycled,,,,,AT3,BE22,BG4,HR3,CY3,CZ98,,EE7,,,DE3,GR7,HU4,,,LV5,LT8,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES1,SE6,,MK4,RS3
Tinplate,Composite,Hazardous,Moulded,Recycled,,,,,AT7,BE22,BG6,HR3,CY3,CZ100,,EE7,,,DE7,GR7,HU3,,,LV7,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES2,SE6,,MK6,RS3
Tinplate,Beverage,Composite,Hazardous,Moulded,Recycled,,,,AT7,BE22,BG6,HR3,CY3,CZ103,,EE7,,,DE7,GR7,HU3,,,LV5,LT10,LU5,MT4,NL6,PL4,PT5,RO9,SK10,SL22,ES1,SE6,,MK6,RS3
Aluminium,,,,,,,,,AT4,BE4,BG5,HR2,CY4,CZ84,,EE8,,,DE4,GR6,HU5,,,LV6,LT9,LU6,MT5,NL5,PL4,PT6,RO10,SK9,SL6,ES4,SE5,,MK5,RS3
Aluminium,Beverage,,,,,,,,AT4,BE4,BG5,HR13,CY4,CZ86,,EE8,,,DE4,GR6,HU5,,,LV6,LT9,LU6,MT5,NL5,PL4,PT6,RO10,SK9,SL6,ES4,SE5,,MK5,RS3
Aluminium,Composite,,,,,,,,AT7,BE23,BG6,HR2,CY4,CZ89,,EE8,,,DE7,GR6,HU3,,,LV7,LT10,LU6,MT5,NL5,PL4,PT6,RO10,SK9,SL15,ES4,SE5,,MK6,RS3
Aluminium,Hazardous,,,,,,,,AT4,BE22,BG5,HR2,CY4,CZ84,,EE8,,,DE4,GR6,HU5,,,LV6,LT9,LU6,MT5,NL5,PL4,PT6,RO10,SK9,SL22,ES4,SE5,,MK5,RS3
